"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"327","RT @CouthonConseil: #BigData &amp; #DataScience: What Does a #DataScientist Do? http://t.co/K44GZ2q9c2 http://t.co/JkpUeiuy8h",FALSE,0,NA,2015-03-29 02:32:38,FALSE,NA,"582007426641084417",NA,"<a href=""http://www.simbasystems.com"" rel=""nofollow"">NoSQLDigest</a>","NoSQLDigest",8,TRUE,FALSE,NA,NA
"328","RT @CouthonConseil: Selling #datascience: common language #bigdata #data http://t.co/d6uYyofhx9 http://t.co/L9rnrciXgR",FALSE,0,NA,2015-03-29 02:31:55,FALSE,NA,"582007246705405952",NA,"<a href=""http://www.simbasystems.com"" rel=""nofollow"">NoSQLDigest</a>","NoSQLDigest",1,TRUE,FALSE,NA,NA
"329","RT @KirkDBorne: #DigitalMarketing is really about Behavioral #Analytics: http://t.co/zKzcZDHWSi #BigData #DataScience by @SYNTASACO's team",FALSE,0,NA,2015-03-29 02:30:49,FALSE,NA,"582006969919258624",NA,"<a href=""https://hijeffho.squarespace.com/"" rel=""nofollow"">Data Trend</a>","Data88Geek",11,TRUE,FALSE,NA,NA
"330","RT @arnab_majumdar: The National Data Science Bowl Makes Plankton Research Sexy - http://t.co/SnHDAKbnB3 #datascience",FALSE,0,NA,2015-03-29 02:30:49,FALSE,NA,"582006968455442433",NA,"<a href=""https://hijeffho.squarespace.com/"" rel=""nofollow"">Data Trend</a>","Data88Geek",1,TRUE,FALSE,NA,NA
"331","RT @MindAfterMath: A JavaScript Implentation of MapReduce's WordCount http://t.co/YbZNc9bb5c #compsci  #datascience #math #stem #mathchat",FALSE,0,NA,2015-03-29 02:30:48,FALSE,NA,"582006967444643840",NA,"<a href=""https://hijeffho.squarespace.com/"" rel=""nofollow"">Data Trend</a>","Data88Geek",3,TRUE,FALSE,NA,NA
"332","RT @byod_news: krawchick: RT ekimetrics: So you want to be #DataScientist? via http://t.co/mMBnkOt2J3  #DataScience #BigData #D… http://t.c…",FALSE,0,NA,2015-03-29 02:30:46,FALSE,NA,"582006958137454592",NA,"<a href=""https://github.com/Jeff88Ho"" rel=""nofollow"">Financial Information Miner</a>","Jeff88Ho",5,TRUE,FALSE,NA,NA
"333","RT @MindAfterMath: A JavaScript Implentation of MapReduce's WordCount http://t.co/YbZNc9bb5c #compsci  #datascience #math #stem #mathchat",FALSE,0,NA,2015-03-29 02:30:15,FALSE,NA,"582006827505848320",NA,"<a href=""http://www.visicomscientific.com"" rel=""nofollow"">SnapShopPro</a>","softwareguru1",3,TRUE,FALSE,NA,NA
"334","The National Data Science Bowl Makes Plankton Research Sexy - http://t.co/SnHDAKbnB3 #datascience",FALSE,3,NA,2015-03-29 02:30:06,FALSE,NA,"582006789090099203",NA,"<a href=""http://klout.com"" rel=""nofollow"">Post with Klout</a>","arnab_majumdar",1,FALSE,FALSE,NA,NA
"335","RT @MindAfterMath: A JavaScript Implentation of MapReduce's WordCount http://t.co/YbZNc9bb5c #compsci  #datascience #math #stem #mathchat",FALSE,0,NA,2015-03-29 02:28:31,FALSE,NA,"582006390979334144",NA,"<a href=""http://simbasystems.com"" rel=""nofollow"">javascriptdigest</a>","javascriptd",3,TRUE,FALSE,NA,NA
"336","RT @KirkDBorne: #DigitalMarketing is really about Behavioral #Analytics: http://t.co/zKzcZDHWSi #BigData #DataScience by @SYNTASACO's team",FALSE,0,NA,2015-03-29 02:25:59,FALSE,NA,"582005753520721921",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JayMarwaha1",11,TRUE,FALSE,NA,NA
